item,times_ordered,last_ordered
"TG purple 45, 47 (10)",2,2026-04-15
"TG orange 23, 25 (10)",2,2026-04-15
"TG clear 11 (5), 25 (2)",2,2026-04-15
"TG pink 13, 51 (5)",2,2026-04-15
"TG blue 11, 39, 47 (5)",2,2026-04-15
Dexter women's pro boa - Size 8 1/2 - Female - Lavender white,2,2026-04-16
Storm Equinox Solid 15 lb,2,2026-04-16
Storm Hyroad 40 Pearl Teal 15 lb,2,2026-04-16
KR Drive Triple Roller navy (3),2,2026-06-01
Brunswick Edge Double Roller blue (3),2,2026-06-01
Brunswick Edge Double Roller blue (1),2,2026-06-01
Hammer Tough Tote - orange (2) purple (4),2,2026-06-01
Dexter SST 6 Hybrid BOA red/black size 8,2,2026-06-01
Dexter SST 6 Hybrid BOA red/black size 8.5,2,2026-06-01
Dexter SST 6 Hybrid BOA red/black size 9,2,2026-06-01
Dexter SST 6 Hybrid BOA red/black size 9.5,2,2026-06-01
Dexter SST 6 Hybrid BOA red/black size 10.5,2,2026-06-01
Dexter SST 6 Hybrid BOA red/black size 11.5,2,2026-06-01
Dexter SST 6 Hybrid BOA red/black size 12,2,2026-06-01
Dexter SST 6 Hybrid BOA red/black size 13,2,2026-06-01
Storm Ion Max Pearl 14 & 15 lb,2,2026-06-01
Roto Grip Transformer - 14 lb,2,2026-06-01
Storm Bionic 14 lb (2),2,2026-06-01
Roto Grip Gremlin Tour X 14 & 15 lb,2,2026-06-01
Storm Phaze II Pearl 14 & 15 lb,2,2026-06-01
Hammer Purple 78 D 14 & 15 lb,2,2026-06-01
Hammer Black Widow Dynasty 14 lb,2,2026-06-01
Motiv venom hysteria 15,2,2026-04-20
Brunswick edge single tote lime,2,2026-04-20
Hammer tour v1 14 lb,2,2026-04-20
Hammer Purple Pearl Urethane 15 lb,2,2026-04-20
Vise K+ tape (5),2,2026-04-20
IQ Tour,2,2026-04-20
Storm Ice gold/black 15 lb,2,2026-04-20
Storm Mix silver 15 lb,2,2026-04-20
"Turbo 1"" roll tape  mint",2,2026-04-20
Dexer Pro BOA black/leopard size 7.5,2,2026-04-20
Storm Concept — 14 lb,2,2026-04-20
Brunswick Danger Zone Bowling Ball BLACK Size 14,2,2026-04-20
dexter h6 LE heel shoe size 10.5,2,2026-04-20
Dexter h7 heel shoe size 10.5,2,2026-04-20
Brunswick Prism size 8.5,2,2026-04-20
Hammer Black Widow 3.0 Dynasty — 16 lb,2,2026-04-20
Ball: Storm Monsoon 14lb,2,2026-04-27
Storm Monsoon 15lb (3),2,2026-04-27
TROPICAL SURGE BLACK-BLUE-PINK - 15lb,2,2026-04-27
Hammer purple pearl urethane 78d 14 lb,2,2026-04-27
Motiv Venom Shock — 15 lb,2,2026-04-27
Roto Grip Transformer 14 lb,2,2026-04-27
Ion Max - 14lbs,2,2026-04-27
Brunswick Slingshot - Size 10 WW - Male - Black,2,2026-04-27
Hammer Night Diesel 10 1/2 RH,2,2026-04-27
Kr Strikeforce maui grey youth girls size 3,2,2026-04-27
Hammer Shoe Slides,2,2026-04-27
Shoe brush,2,2026-04-27
Slide stone,2,2026-04-27
Poop emoji grip sack (5),2,2026-04-27
Turbo wrist wrap L,2,2026-04-27
sidekick tote,2,2026-04-27
Motiv Venom Hysteria 15 lb (2),2,2026-04-27
Hammer black widow dynasty 14 lb,2,2026-04-27
"1 1/4"" red/green thumb slug (10)",2,2026-04-27
"1 1/4"" blue/purple thumb slug (10)",2,2026-04-27
Vise 500 sanding pads (2),2,2026-04-27
Vise 1000 sanding pads (2),2,2026-04-27
Hammer May release 14 lb,2,2026-05-01
Hammer May release 15 lb,2,2026-05-01
Rocket AI - 15lb,2,2026-05-04
Storm Monsoon 13lb,2,2026-05-04
Storm Monsoon — 12 lb,2,2026-05-04
Dexter SST 6 Hybrid BOA red/black size 7,2,2026-05-04
Brunswick TZone Peek-A-Boo Berry — 15 lb,2,2026-05-04
KR Stay Dry Shoe Cover XL,2,2026-05-04
Bionic - 15lb,2,2026-05-04
14 lb hammer effect tour(for my dad),2,2026-05-04
"KR Pro Force Glove RH M & L, LH M",2,2026-05-04
Vise K + tape  (10),2,2026-05-04
Dexter S10 sole,2,2026-05-04
Brunswick Alert — 15 lb,2,2026-05-04
"Hammer Tough Tote - org, blu, blk, pur (2)",2,2026-05-04
Brunswick Shoe Shield M (2),2,2026-05-11
Brunswick Quick Clean Ball Wipes (2),2,2026-05-11
TG slugs 1 1/4 yellow/orange (10),2,2026-05-11
TG purple 21 (10),2,2026-05-11
TG red 23 (5),2,2026-05-11
TG blue 5 (5),2,2026-05-11
TG orange 43 (10),2,2026-05-11
Brunswick Slide Stone (2),2,2026-05-11
Track Synthesis — 15 lb,2,2026-05-11
Dexter Pro BOA teal/grey size 8,2,2026-05-11
Brunswick Rhino red/black/yellow 13 lb,2,2026-05-11
Brunswick Danger Zone Solid 15 lb (2),2,2026-05-11
Motiv Black Venom - 13lbs,2,2026-05-21
White Dot Black/Purple/Silver 10 lb,2,2026-05-21
Wizard 3 to 1 ball plug gallon kit (2),2,2026-05-21
White Dot Lime Swirl 10 lb,2,2026-05-21
Hammer ball cup (2),2,2026-05-21
"TG yellow 11, 23, 45, 49",2,2026-05-21
"TG orange 3, 19",2,2026-05-21
"TG red 43, 45",2,2026-05-21
Danger zone Solid - 14lbs,2,2026-05-21
Radical Revenge Solid 14lb,2,2026-05-21
Ebonite GB5 Hybrid 14 lb,2,2026-05-21
Hammer Axe pink/purple 14 lb,2,2026-05-21
Storm Ion Pro Solid — 15 lb,2,2026-05-21
Radical Outer Limits Black Hole 14lb lighter side,2,2026-05-21
Kr Strikeforce maui grey youth girls size 4,2,2026-05-21
Roto Grip Rockstar Amped 15 lb,2,2026-05-21
900 Global Viking 15 lb,2,2026-05-21
Storm Ice spare ball 15 lb,2,2026-05-21
wrist support medium,2,2026-05-21
Large shoe cover,2,2026-05-21
Hammer Raw Solid Black/Grey — 15 lb,2,2026-05-21
Hammer Raw Hybrid Blue/Black/Orange — 15 lb,2,2026-05-21
Storm Pro Max tape (2),2,2026-05-21
Hammer Hammerhead pearl 14 lb,2,2026-05-26
Ebonite Gamebreaker 5 Solid 15 lb,2,2026-05-26
Motiv ascend red/yellow 14lb,2,2026-05-26
Brunswick TZone Ocean Reef- 15 lbs,2,2026-05-26
Brunswick TZone Wild Orchid — 12 lb,2,2026-05-26
14lb Bionic,2,2026-05-26
15lb Ion Max Pearl,2,2026-05-26
15lb monsoon,2,2026-05-26
Brunswick Danger Zone solid — 12 lb,2,2026-05-26
Storm Phaze II — 14 lb,2,2026-05-26
Storm Tropical Surge Solid Black/Blue/Pink — 11 lb,2,2026-05-26
Turbo fitting tape blue (10),2,2026-05-28
Dexter S10 sole (2),2,2026-05-28
Brunswick Shoe cover S,2,2026-05-28
KR Shoe cover XL,2,2026-05-28
"Turbo 1"" Tape Roll mint",2,2026-05-28
"Turbo 1"" Tape Roll beige",2,2026-05-28
Brunswick Renegade - Size 10W,2,2026-06-02
Brunswick Renegade - Size 10 1/2W,2,2026-06-02
Hammer Spawn — 15 lb,2,2026-06-08
Hammer Zero Mercy Pearl — 14 lb,2,2026-06-08
Brunswick move periwinkle size 9.5,2,2026-06-08
Black Hammer Pearl Urethane 78D - 15lb,2,2026-06-08
Storm Monsoon 15 lb,2,2026-06-11
Master Giant Rosin Bag (2),2,2026-06-11
Hammer Axe Purple/Pink 15lb,2,2026-06-11
Hammer Arctic Vibe White Purple 15 lb,2,2026-06-11
Brunswick Edge single tote grey/black (5),2,2026-06-11
"TG purple 23, 51",2,2026-06-22
"TG yellow 21, 23, 43",2,2026-06-22
"TG red 11, 13",2,2026-06-22
TG pink 11,2,2026-06-22
"TG blue 21, 45",2,2026-06-22
Vise sanding pads 2000 (2),2,2026-06-22
Jopo outer sleeves (30),2,2026-06-22
"JoPo inner half n half 1 3/8"" (10)",2,2026-06-22
"Turbo inner half n half 1 3/8"" (10)",2,2026-06-22
"Turbo 1 1/4"" slug black/white (10)",2,2026-06-22
Motiv Venom Hysteria - 13lbs,2,2026-06-22
Storm Monsoon — 13 lb,2,2026-06-22
Brunswick Renegade blue mesh size 6.5,2,2026-06-22
Brunswick Renegade blue mesh size 7,2,2026-06-22
Storm mix black and white 15lb,2,2026-06-22
Hammer Deep Ocean Vibe 14 lb,2,2026-06-23
Heckler Taunt 15 lb,2,2026-06-25
Paragon Fire 15 lb,2,2026-06-25
Spartan Pearl 15 lb,2,2026-06-25
Fallout 15 lb,2,2026-06-25
Storm Mix Black/Purple/Pink — 15 lb,2,2026-06-25
KR joey bag black (2),2,2026-06-25
Hammer premium towel (6),2,2026-06-25
Hammer Zero Mercy Pearl 14lb,2,2026-06-30
Hammer Zero mercy pearl 15 lb,2,2026-06-30
Storm Monsoon 14 lb,2,2026-06-30
Roto Grip Hustle VP 15lb,2,2026-07-07
Storm Tropical Surge Apple Kiwi Avocado 15lb,2,2026-07-07
Roto grip Hyped Up 15 lb,2,2026-07-07
Hammer Raw Solid Black/Grey — 14 lb,2,2026-07-07
Brunswick TZone night sky 15 lb,2,2026-07-07
Turbo tournament tote,2,2026-07-07
Phaze 2 solid - 15 lb,2,2026-07-07
Radical No Doubt Hybrid — 12 lb,2,2026-07-13
Fallout 14lb,2,2026-07-13
Storm Alpha Crux — 14 lb,2,2026-07-13
Dexter Trixie white/black/purple size 9,2,2026-07-13
Dexter SST6 Hybrid BOA size 11,2,2026-07-13
Jopo outer sleeves (50),2,2026-07-13
JoPo inner sleeves (20),2,2026-07-13
Vise sanding pad (2),2,2026-07-13
TG black 23 (10),2,2026-07-13
Turbo fitting tape mint (6),2,2026-07-14
Turbo fitting tape purple (6),2,2026-07-14
Turbo inner sleeve (10),2,2026-07-14
Turbo NX inner sleeve (10),2,2026-07-14
Turbo outer sleeve (10),2,2026-07-14
Trubo NX outer sleeve (10),2,2026-07-14
Turbo slugs blue/purple 1 1/4 (10),2,2026-07-14
"Turbo quad black 5, 11, 21 (20)",2,2026-07-14
"Turbo quad black 43,45,47,49 (10)",2,2026-07-14
Turbo quad red 5 (10),2,2026-07-14
"Turbo quad white 5, 41 (10)",2,2026-07-14
"Turbo quad yellow 5, 11, 47 (10)",2,2026-07-14
"Turbo quad green 3,5,11,21,43 (10)",2,2026-07-14
"Turbo quad purple 3,23,25,43,45,47 (10)",2,2026-07-14
"Turbo quad blue 11,23,43 (10)",2,2026-07-14
"Turbo quad ice 3,25,43,45,47 (10)",2,2026-07-14
Turbo quad pink 21 (10),2,2026-07-14
"Turbo quad orange 23,43 (10)",2,2026-07-14
Storm tropical surge black/blue/pink 14 lb,2,2026-07-18
Storm Alpha Crux — 15 lb,2,2026-07-18
Hammer Black Widow Tour V1 — 14 lb,2,2026-07-18
Brunswick Fury Pink/Ice/Silver Pearl — 9 lb,2,2026-07-18
900Global Vengeance — 15 lb,2,2026-07-18
Storm concept 16 lbs,2,2026-07-30
Storm Ion Max — 15 lb,2,2026-08-06
Track Theorem Delta — 16 lb,2,2026-08-06
Motiv Vault 3 Ball Triple Roller midnight blue,2,2026-08-06
Brunswick TZone Indigo Swirl — 14 lb,2,2026-08-06
IQ Tour Solid 16 lb,2,2026-08-06
Storm Alpha Crux 14 lb,2,2026-08-06
IQ Tour Sapphire 15lbs,2,2026-08-16
Storm IQ tour Sapphire 15 lb,2,2026-08-16
Item,1,
Brunswick Shoe Shield  XL,1,2026-02-09
Turbo fitting tape bulk roll blue,1,
Turbo fitting tape bulk roll mint,1,
Turbo fitting tape bulk roll beige,1,
"Vise black 2, 2.5, 3, 3.5, 4.5, 5, 5.5 (3)",1,
"Vise clear 3, 3.5, 4.5, 5, 5.5 (3)",1,
Dexter turbo Boa's wide size 7.5 and 8,1,
Brunswick TZone Deep Space — 12 lb,1,
DV8 Intense Collision 15 lb,1,2026-08-10
Brunswick Combat Solid 14 lb,1,2026-08-10
Brunswick Infinity Quest Pearl 15 lb,1,2026-08-10
Track Theorem Delta 15 lb,1,2026-08-10
Ebonite Spartan Pearl 14 lb,1,2026-08-10
Radical Outer Limits Black Hole 14 lb,1,2026-08-10
Storm Hy-Road 40 Pearl 15 lb,1,2026-08-10
Storm Hy-Road 40 Pearl 12 lb,1,2026-08-10
Brunswick Big B ball cleaner 8 oz (48),1,2026-08-10
Brunswick Big B ball cleaner 1 gallon,1,2026-08-10
Crown Factory Compound,1,2026-08-10
Crown Factory Polish,1,2026-08-10
Brunswick Shoe cover S/M (5),1,2026-08-10
Brunswick Shoe cover L/XL (10),1,2026-08-10
Brunswick Shoe cover XXL (5),1,2026-08-10
Brunswick shoe slide (15),1,2026-08-10
Hammer shoe slide (15),1,2026-08-10
Brusnwick slide stone (5),1,2026-08-10
Brunswick rosin bag (24),1,2026-08-10
Brunswick sole #8 (5),1,2026-08-10
Brunswick sole #10 (10),1,2026-08-10
Hammer Premium towel (25),1,2026-08-10
Hammer shoe brush (5),1,2026-08-10
"Hammer 3/4"" white tape (10)",1,2026-08-10
"Hammer 1"" white tape (20)",1,2026-08-10
Hammer Black Widow large grip sacks (15),1,2026-08-10
Vise sanding pads 500 1000 1500 (10),1,2026-08-10
Vise sanding pads 2000 3000 4000 (6),1,2026-08-10
Vise K+ tape (48),1,2026-08-10
KR Pro Force glove RH S M L XL (2),1,2026-08-10
KR Pro Force glove LH S,1,2026-08-10
Storm Power Edge quart,1,2026-08-10
Master Giant Puff Ball (12),1,2026-08-10
JoPo outer black (96),1,2026-08-10
JoPo outer black (24),1,2026-08-10
Turbo Switch Grip NX outer sleeves (100),1,2026-08-10
Turbo Switch Grip NX inner sleeves (40),1,2026-08-10
"Turbo 1 1/4"" slug black/white (100)",1,2026-08-10
"Turbo 1 1/4"" slug yellow/orange (100)",1,2026-08-10
"Turbo 1 1/4"" slug blue/purple (100)",1,2026-08-10
"Turbo 1 3/8"" slug blue/purple (20)",1,2026-08-10
"Turbo 1 1/4"" slug red/green (100)",1,2026-08-10
"Turbo 1 3/8"" slug red/green (10)",1,2026-08-10
"Turbo 1 1/4""slug pink/white (50)",1,2026-08-10
Turbo smart grip ball (20),1,2026-08-10
Turbo T45 ball plug (4),1,2026-08-10
Turbo super dams circle (10),1,2026-08-10
Turbo super dams oval (10),1,2026-08-10
Turbo drilling reamer,1,2026-08-10
Turbo plug cutter,1,2026-08-10
Turbo fitting tape 30 piece blue (12),1,2026-08-10
Turbo fitting tape 30 piece beige (6),1,2026-08-10
Turbo fitting tape 30 piece purple (6),1,2026-08-10
Turbo fitting tape 30 piece mint (6),1,2026-08-10
"Vise black 2, 2.5, 3, 3.5, 4.5, 5, 5.5, 6, 7, 7.5 (5)",1,2026-08-10
"Vise clear 3, 3.5, 4.5, 5, 5.5, 6 (5)",1,2026-08-10
Brunswick Fusion grey RH 10,1,2026-08-10
Brunswick Fusion grey RH 8W,1,2026-08-10
Dexter SST8 Power Frame BOA blue/red wide 9.5,1,2026-08-10
Hammer Black Urethane 14 lb,1,2026-08-10
Hammer Axe Smoke Gray 15 lbs,1,2026-08-10
Hammer Zero Mercy Solid 14,1,2026-08-11
T zone ocean reef 6 lb,1,2026-08-16
900 Global Vengance 15 lb,1,2026-08-16
Brunswick T-zone indigo swirl 15 lb,1,2026-08-16
Brunswick Move Perriwinkle size 7.5,1,2026-08-16
T zone berry blast 12 lb.,1,2026-08-16
Brunswick Rhino Purple/Pink/Berry Pearl 12 lb,1,2026-08-16
IQ Tour 78u - 15 lbs,1,2026-08-16
Brunswick t-zone peek a boo berry 15 lb,1,2026-08-16
Brunswick Fury emerald black 12 lb,1,2026-08-18
Roto Grip Hustle X-Ray Solid — 14 lb,1,2026-08-24
T zone Peek a boo berry 8 lb,1,2026-08-24
Kr Hybrid Single Roller Purple,1,2026-08-24
Brunswick Lady Fanatic pink/black 7.5,1,2026-08-24
Dexter SST 8 blue/white size 9,1,2026-08-24
DV8 Heckler Taunt - 15lbs,1,2026-08-24
Ball: !Q Tour Sapphire - 15lbs,1,2026-08-24
Master Wristmaster II LH XL,1,2026-08-24
Kr Pro Force glove RH L,1,2026-08-24
T-zone peek a boo berry 13 lb,1,2026-08-24
Brunswick Fury. Red blue black 12,1,2026-08-26
Storm Ice Storm Ocean Blue — 15 lb,1,2026-08-26
Hammer Black Widow Double Tote,1,2026-08-26
Storm IQ Sapphire 15 lb,1,2026-08-26
Accessories: 2x Dexter THE 9 Slide S8 Slide Sole Large,1,2026-08-26
Brunswick Fury orange red - 11lbs,1,2026-08-26
Hammer Axe Purple Smoke - 14lbs,1,2026-08-26
Brunswick Siege 13 Left Hand - Size 13 - Male - N/a,1,
Storm Equinox Hybrid 15 lb,1,2026-08-26
t-zone ocean reef 15 lb,1,
KR Drive Triple Roller navy (2),1,2026-06-01
Brunswick Edge Double Roller blue (5),1,2026-06-01
Kr Strikeforce maui grey youth girls size 3 and 4,1,2026-04-27
Turbo small twist tool,1,
"Turbo 1"" roll tape  blue",1,
